calender_id,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
117990,39174512,2022-05-19 00:00:00.000000,0,210,210,1,1125
117991,22651108,2022-02-23 00:00:00.000000,1,95,95,1,31
117992,43660245,2022-03-30 00:00:00.000000,1,169,169,1,1125
117993,45503709,2022-06-11 00:00:00.000000,1,130,130,2,150
117994,33215914,2022-05-24 00:00:00.000000,1,89,89,14,1125
117995,53473869,2022-10-23 00:00:00.000000,1,59,59,1,10
117996,29683668,2022-01-27 00:00:00.000000,1,87,87,2,1125
117997,40172994,2022-09-26 00:00:00.000000,1,59,59,1,21
117998,20318096,2022-10-27 00:00:00.000000,0,38,38,1,7
117999,51504108,2022-12-02 00:00:00.000000,1,275,275,1,1125
118000,34522632,2022-07-08 00:00:00.000000,1,88,88,1,1125
118001,49895621,2022-09-13 00:00:00.000000,1,116,116,1,999
118002,22023486,2022-09-06 00:00:00.000000,1,120,120,3,99
118003,43544200,2022-06-23 00:00:00.000000,1,65,65,5,1125
118004,16630701,2022-08-17 00:00:00.000000,1,130,130,1,1125
118005,35052955,2022-08-15 00:00:00.000000,0,60,60,1,1125
118006,51442256,2022-04-10 00:00:00.000000,1,160,144,2,365
118007,41655525,2022-06-10 00:00:00.000000,0,95,95,2,1125
118008,11209398,2022-02-07 00:00:00.000000,1,65,65,30,1125
118009,25507520,2022-06-10 00:00:00.000000,0,135,135,1,28
118010,21718764,2022-04-09 00:00:00.000000,0,50,50,7,1125
118011,40985461,2022-04-29 00:00:00.000000,1,70,70,1,1125
118012,50430621,2022-01-13 00:00:00.000000,0,65,65,2,365
118013,49765187,2022-11-04 00:00:00.000000,1,129,129,1,21
118014,52046870,2022-11-27 00:00:00.000000,1,160,160,2,365
118015,53439706,2022-07-12 00:00:00.000000,1,96,96,2,365
118016,48744249,2022-09-01 00:00:00.000000,0,27,27,1,120
118017,43626294,2022-06-22 00:00:00.000000,0,50,50,2,1125
118018,26023466,2022-03-24 00:00:00.000000,1,101,101,1,1125
118019,35569947,2022-11-25 00:00:00.000000,0,75,75,2,1125
118020,37735334,2022-03-09 00:00:00.000000,1,80,72,2,1125
118021,27288680,2022-09-03 00:00:00.000000,1,30,30,2,1125
118022,49608085,2022-01-04 00:00:00.000000,1,68,68,1,365
118023,49607608,2022-01-06 00:00:00.000000,0,69,69,15,1125
118024,45503709,2022-02-15 00:00:00.000000,1,130,130,2,150
118025,12864070,2022-02-15 00:00:00.000000,1,67,67,2,1125
118026,24829527,2022-01-05 00:00:00.000000,1,90,90,3,1125
118027,40080174,2022-08-29 00:00:00.000000,1,64,64,1,13
118028,40414879,2022-09-03 00:00:00.000000,1,69,69,1,1125
118029,42788327,2022-09-09 00:00:00.000000,0,64,64,1,1125
118030,48193936,2022-06-02 00:00:00.000000,0,82,82,2,1125
118031,17004023,2022-11-19 00:00:00.000000,1,276,276,2,1125
118032,43740067,2022-06-22 00:00:00.000000,0,300,300,100,365
118033,53357203,2022-05-16 00:00:00.000000,1,400,380,1,1125
118034,52787735,2022-10-03 00:00:00.000000,1,400,400,2,45
118035,39385527,2022-02-21 00:00:00.000000,1,50,50,1,1125
118036,51236529,2022-09-08 00:00:00.000000,0,52,52,4,1125
118037,42194629,2022-07-23 00:00:00.000000,1,89,89,2,1125
118038,36671122,2022-12-25 00:00:00.000000,1,44,44,1,7
118039,50988659,2022-03-08 00:00:00.000000,1,120,120,5,1125
118040,48278438,2022-11-06 00:00:00.000000,0,120,120,1,1125
118041,52215131,2022-04-22 00:00:00.000000,1,65,62,1,365
118042,39576578,2022-02-27 00:00:00.000000,1,65,65,2,1125
118043,44565286,2022-11-17 00:00:00.000000,0,1000,970,1,999
118044,53026328,2022-06-20 00:00:00.000000,1,80,80,1,1125
118045,30949150,2022-04-13 00:00:00.000000,0,140,140,2,1125
118046,52785452,2022-01-27 00:00:00.000000,1,49,49,1,10
118047,50323151,2022-07-02 00:00:00.000000,1,139,139,1,21
118048,53246317,2021-12-31 00:00:00.000000,0,54,54,2,1125
118049,34925546,2022-10-19 00:00:00.000000,0,80,80,2,11
118050,44229738,2022-07-28 00:00:00.000000,1,715,715,2,1125
118051,49604220,2022-11-06 00:00:00.000000,1,198,198,2,1125
118052,38594194,2022-05-07 00:00:00.000000,1,55,55,3,1125
118053,20131004,2022-11-09 00:00:00.000000,0,35,35,4,1125
118054,21168610,2022-05-10 00:00:00.000000,0,107,107,2,28
118055,43396485,2022-09-06 00:00:00.000000,0,35,35,1,1125
118056,15520735,2022-07-07 00:00:00.000000,0,65,65,1,1125
118057,50305711,2022-07-07 00:00:00.000000,1,166,166,1,1125
118058,9193370,2022-09-01 00:00:00.000000,1,80,80,2,1125
118059,38067907,2022-11-04 00:00:00.000000,0,32,32,1,16
118060,39439450,2022-12-14 00:00:00.000000,0,160,160,2,1125
118061,51552571,2022-10-31 00:00:00.000000,1,120,120,3,1125
118062,40517821,2022-06-17 00:00:00.000000,0,115,115,4,1125
118063,49764921,2022-03-27 00:00:00.000000,1,49,49,1,21
118064,53304479,2022-08-30 00:00:00.000000,1,65,65,2,30
118065,20957741,2022-05-10 00:00:00.000000,1,52,52,1,1125
118066,39827291,2022-07-26 00:00:00.000000,0,68,68,2,1125
118067,49743964,2022-09-16 00:00:00.000000,1,129,129,1,21
